solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,mol_wt_solv_1,mol_wt_solv_2,mol_wt_solv_3,mol_wt_solv_4,mol_wt_salt,conc_salt,temperature
1,0,0,0,270.0690636,0,0,0,186.9396855,1.0,80
1,0,0,0,270.0690636,0,0,0,186.9396855,1.0,70
1,0,0,0,270.0690636,0,0,0,186.9396855,1.0,60
1,0,0,0,270.0690636,0,0,0,186.9396855,1.0,50
1,0,0,0,270.0690636,0,0,0,186.9396855,1.0,40
1,0,0,0,270.0690636,0,0,0,186.9396855,1.0,30
1,0,0,0,270.0690636,0,0,0,186.9396855,1.0,20
1,0,0,0,314.0952783,0,0,0,186.9396855,1.0,80
1,0,0,0,314.0952783,0,0,0,186.9396855,1.0,70
1,0,0,0,314.0952783,0,0,0,186.9396855,1.0,60
1,0,0,0,314.0952783,0,0,0,186.9396855,1.0,50
1,0,0,0,314.0952783,0,0,0,186.9396855,1.0,40
1,0,0,0,314.0952783,0,0,0,186.9396855,1.0,30
1,0,0,0,314.0952783,0,0,0,186.9396855,1.0,20
1,0,0,0,358.1214931,0,0,0,186.9396855,1.0,80
1,0,0,0,358.1214931,0,0,0,186.9396855,1.0,70
1,0,0,0,358.1214931,0,0,0,186.9396855,1.0,60
1,0,0,0,358.1214931,0,0,0,186.9396855,1.0,50
1,0,0,0,358.1214931,0,0,0,186.9396855,1.0,40
1,0,0,0,358.1214931,0,0,0,186.9396855,1.0,30
1,0,0,0,358.1214931,0,0,0,186.9396855,1.0,20
1,0,0,0,370.0626764,0,0,0,186.9396855,1.0,80
1,0,0,0,370.0626764,0,0,0,186.9396855,1.0,70
1,0,0,0,370.0626764,0,0,0,186.9396855,1.0,60
1,0,0,0,370.0626764,0,0,0,186.9396855,1.0,50
1,0,0,0,370.0626764,0,0,0,186.9396855,1.0,40
1,0,0,0,370.0626764,0,0,0,186.9396855,1.0,30
1,0,0,0,370.0626764,0,0,0,186.9396855,1.0,20
1,0,0,0,414.0888912,0,0,0,186.9396855,1.0,80
1,0,0,0,414.0888912,0,0,0,186.9396855,1.0,70
1,0,0,0,414.0888912,0,0,0,186.9396855,1.0,60
1,0,0,0,414.0888912,0,0,0,186.9396855,1.0,50
1,0,0,0,414.0888912,0,0,0,186.9396855,1.0,40
1,0,0,0,414.0888912,0,0,0,186.9396855,1.0,30
1,0,0,0,414.0888912,0,0,0,186.9396855,1.0,20
1,0,0,0,458.1151059,0,0,0,186.9396855,1.0,80
1,0,0,0,458.1151059,0,0,0,186.9396855,1.0,70
