solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,pre_feat_solv_1,pre_feat_solv_2,pre_feat_solv_3,pre_feat_solv_4,pre_feat_solv_5,pre_feat_solv_6,pre_feat_solv_7,pre_feat_solv_8,pre_feat_solv_9,pre_feat_solv_10,solv_ratio_1,solv_ratio_2,solv_ratio_3,num_heavy_atoms_solv_1,num_heavy_atoms_solv_2,num_heavy_atoms_solv_3,mw_solv_1,mw_solv_2,mw_solv_3,pre_feat_salt_1,pre_feat_salt_2,pre_feat_salt_3,pre_feat_salt_4,pre_feat_salt_5,pre_feat_salt_6,pre_feat_salt_7,pre_feat_salt_8,pre_feat_salt_9,pre_feat_salt_10,salt_1_conc,salt_2_conc,num_heavy_atoms_salt_1,num_heavy_atoms_salt_2,mw_salt_1,mw_salt_2,pre_feat_add_1,pre_feat_add_2,pre_feat_add_3,pre_feat_add_4,pre_feat_add_5,pre_feat_add_6,pre_feat_add_7,pre_feat_add_8,pre_feat_add_9,pre_feat_add_10,num_heavy_atoms_add,mw_add,protocol,current_density,coulombic_efficiency,log(1-CE)
CC1COC(=O)O1,,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,,13.960964,-36.666103,-22.260607,16.980927,8.733797,24.34312,-13.19099,-21.466457,-0.9576501,-12.557255,1,0,0,7,0,0,102.0316941,0,0,-221.66641,12.393312,6.6704636,-47.994022,62.377254,-7.3509507,-0.9504158,-0.95536816,-7.1773186,2.3599467,1,0,6,0,105.9645157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,-1.609437912
CC1COC(=O)O1,,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,O=S=O,13.96078,-36.666084,-22.260595,16.980879,8.7338295,24.343128,-13.190999,-21.466469,-0.9577008,-12.557279,1,0,0,7,0,0,102.0316941,0,0,-221.66653,12.393236,6.6704593,-47.994152,62.377327,-7.3509207,-0.9504568,-0.9553708,-7.1772995,2.359975,1,0,6,0,105.9645157,0,412.1441,-53.276897,-22.963917,7.520813,21.92245,23.375114,0.48196778,13.548994,52.09653,0.002881047,3,63.96190024,1,5,0.836,-1.807888851
C1CCOC1,,,F[As-](F)(F)(F)(F)F.[Li+],,,60.811623,0.9465447,-4.255921,20.332489,45.908714,-7.113601,-13.5508585,-3.377986,6.3056355,-2.0231233,1,0,0,5,0,0,72.05751488,0,0,-93.11358,51.14956,-19.2729,-8.102279,-6.797103,18.451069,5.504963,-2.8257673,-5.475229,-0.039588515,1,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.894,-2.244316185
CC1CCCO1,,,F[As-](F)(F)(F)(F)F.[Li+],,,245.14778,29.954426,-0.5771807,18.008678,45.957737,14.886771,-29.603376,10.542392,11.49066,12.857011,1,0,0,6,0,0,86.07316494,0,0,-93.11358,51.149727,-19.272722,-8.102569,-6.7970967,18.451069,5.5049915,-2.8257804,-5.4752088,-0.03956837,1,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.974,-3.649658741
CC1CCCO1,,,F[As-](F)(F)(F)(F)F.[Li+],,,245.14778,29.95443,-0.57729423,18.008636,45.957726,14.886753,-29.60334,10.542382,11.490674,12.857035,1,0,0,6,0,0,86.07316494,0,0,-93.11358,51.14986,-19.272943,-8.102409,-6.797088,18.451368,5.505139,-2.8257325,-5.4752207,-0.039548125,1.5,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9,0.974,-3.649658741
CCOCC,C1CCOC1,,F[As-](F)(F)(F)(F)F.[Li+],,,-154.55328,-72.43157,-9.156329,52.17902,6.134763,2.1620555,1.2767678,-21.716953,3.7484756,-0.4013755,0.9,0.1,0,5,5,0,74.07316494,72.05751488,0,-93.11358,51.14986,-19.272936,-8.102421,-6.797074,18.451189,5.505005,-2.8257706,-5.4752088,-0.039544195,2.5,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0.978,-3.816712826
CC1CCCO1,COCCOC,,F[As-](F)(F)(F)(F)F.[Li+],,,304.1102,6.0249987,-0.09008936,36.36674,32.604332,11.592225,-31.14136,15.134139,-5.547846,17.793549,0.5,0.5,0,6,6,0,86.07316494,90.06807956,0,-93.11358,51.14986,-19.272936,-8.102427,-6.797142,18.451202,5.505035,-2.8257554,-5.4752235,-0.039545767,1.5,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.4,0.98,-3.912023005
O=C1OCCO1,C1COCO1,,F[As-](F)(F)(F)(F)F.[Li+],,,-112.02928,17.63916,-34.74918,-22.526962,25.204515,-11.907564,-8.81311,9.882314,5.7235265,7.292496,0.000999001,0.999000999,0,6,5,0,88.01604399,74.03677943,0,-93.11358,51.14986,-19.272936,-8.1024275,-6.797129,18.4512,5.5050187,-2.8257608,-5.4752197,-0.039581932,1,0,8,0,195.9280204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0.98,-3.912023005
C1COCO1,COCOC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,181.75179,-0.9639855,-12.597649,12.444557,29.045208,-31.193272,-6.119789,-3.504376,-12.363626,3.519224,0.666666667,0.333333333,0,5,5,0,74.03677943,76.0524295,0,459.2217,47.38395,62.609238,-11.724538,-10.754508,-3.0011091,-5.096341,-9.243779,0.5017682,-0.72151333,0.5,0.5,10,16,186.9396855,286.9332984,0,0,0,0,0,0,0,0,0,0,0,0,3,0.25,0.99,-4.605170186
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,-529.23944,99.002686,10.163011,36.577763,-28.83884,5.242559,-9.384589,13.633241,-4.331473,1.1740521,1,0,0,6,0,0,90.06807956,0,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.6418575,0.22894755,-0.13057806,0.11225376,0.04115838,4,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.991,-4.710530702
O=C1OCC(F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,725.1771,6.303111,-5.273685,5.303995,-4.99546,9.703532,-3.670454,-4.4642825,-5.8825216,-16.04398,1,0,0,7,0,0,106.0066222,0,0,46.835907,-37.55774,-2.2605703,-1.6913636,-2.1326401,0.64185643,0.22893459,-0.13058461,0.112261094,0.04115681,7,0,10,0,186.9396855,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.25,0.996,-5.521460918
C1CCOC1,CF,O=C=O,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,-166.3335,-55.857277,-10.862164,4.5358987,7.46009,-14.590832,2.8087475,-14.49001,-1.9392511,13.393096,0.024390244,0.926829268,0.048780488,5,2,3,72.05751488,34.02187832,43.98982924,577.04285,37.36993,-40.724567,32.637367,20.762426,-5.7456594,2.9056952,-5.75283,-0.8732463,1.1802902,0.3,0,16,0,286.9332984,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0.999,-6.907755279
