Input SMILES,Source,Last Update Date Exact,Supplier Name,Purity,Amount,Measure,LeadTime_Days,Price_USD,USD/g,USD/mol,USD/l,Product_ID
CC(=O)OC(C#N)C#N,ChemSpace,,Key Organics Limited (BIONET),95,1.0,g,40,1169.0,1169.0,,,AS-39788
CC(=O)OC=O,ChemSpace,,Toronto Research Chemicals,90,5.0,g,50,670.0,134.0,,,F693450
CC(C#N)C#N,ChemSpace,,Advanced ChemBlock Inc,95,5.0,g,30,2024.0,404.8,,,L19456
CC(C#N)C(C)(F)F,ChemSpace,,Enamine Ltd,95,1.0,g,30,969.0,969.0,,,EN300-1943976
CC(C#N)C(F)(F)C(F)(F)F,ChemSpace,,Enamine Ltd,95,1.0,g,30,1183.0,1183.0,,,EN300-1951130
CC(C#N)C(F)(F)C(F)F,ChemSpace,,Enamine Ltd,95,1.0,g,30,1183.0,1183.0,,,EN300-1946618
CC(C#N)C(F)(F)F,ChemSpace,,Enamine Ltd,95,1.0,g,30,723.0,723.0,,,EN300-1971129
CC(C#N)C(F)C(F)(F)F,ChemSpace,,Enamine Ltd,95,1.0,g,30,1414.0,1414.0,,,EN300-1953141
CC(C#N)C(F)F,ChemSpace,,Enamine Ltd,95,1.0,g,30,804.0,804.0,,,EN300-1928870
CC(C#N)S(F)(=O)=O,ChemSpace,,Enamine Ltd,95,1.0,g,30,854.0,854.0,,,EN300-224086
CC(C)(C#N)C(F)(F)C(F)F,ChemSpace,,Enamine Ltd,95,1.0,g,30,1085.0,1085.0,,,EN300-1946621
CC(C)(C#N)C(F)F,ChemSpace,,eNovation CN,95,1.0,g,35,2461.0,2461.0,,,Y3293223
CC(C)(CCl)C#N,ChemSpace,,BLD Pharmatech GmbH,95,1.0,g,30,573.0,573.0,,,BD01031440
CC(C)(Cl)C#N,ChemSpace,,eNovation CN,95,1.0,g,35,1196.0,1196.0,,,Y3222907
CC(C)(F)C#N,ChemSpace,,AA BLOCKS,90,10.0,g,35,6937.0,693.7,,,AA01ACBB
CC(C)C(C)C#N,ChemSpace,,"BLD Pharmatech Co., Limited",95,5.0,g,30,1011.0,202.2,,,BD01009914
CC(C)C(Cl)C#N,ChemSpace,,"BLD Pharmatech Co., Limited",95,5.0,g,30,1215.0,243.0,,,BD00984652
CC(C)CC#N,ChemSpace,,Toronto Research Chemicals,90,500.0,mg,50,102.0,204.0,,,I289746
CC(CC(F)(F)C(F)(F)F)C#N,ChemSpace,,Enamine Ltd,95,1.0,g,30,1085.0,1085.0,,,EN300-1941237
CC(CC(F)(F)F)C#N,ChemSpace,,Enamine Ltd,95,1.0,g,30,887.0,887.0,,,EN300-1928945
CC(CCC#N)C#N,ChemSpace,,Angene US,98,25.0,g,40,8.0,0.32,,,AG003B99
CC(CCC(F)(F)F)C#N,ChemSpace,,Enamine Ltd,95,1.0,g,30,887.0,887.0,,,EN300-1953200
CC(CCF)C#N,ChemSpace,,Enamine Ltd,95,1.0,g,30,1249.0,1249.0,,,EN300-1805549
CC(CCl)C#N,ChemSpace,,Accela ChemBio Inc. CN,95,1.0,g,30,1044.0,1044.0,,,SY083557
CC(CF)C#N,ChemSpace,,Enamine Ltd,95,1.0,g,30,1348.0,1348.0,,,EN300-1856734
CC(CS(F)(=O)=O)C#N,ChemSpace,,eNovation CN,95,1.0,g,35,1650.0,1650.0,,,Y3154187
CC(Cl)(Cl)C#N,ChemSpace,,eNovation CN,95,1.0,g,35,2156.0,2156.0,,,Y3256455
CC(Cl)C#N,ChemSpace,,Angene US,98,1.0,g,40,9.0,9.0,,,AG001VTN
CC(F)(F)C#N,ChemSpace,,AA BLOCKS,90,25.0,g,35,1043.0,41.72,,,AA00DCC5
CC(F)(F)C(C)(C)C#N,ChemSpace,,Enamine Ltd,95,1.0,g,30,887.0,887.0,,,EN300-1946278
CC(F)(F)C(F)(F)C(F)(F)F,ChemSpace,,AA BLOCKS,90,100.0,g,35,2912.0,29.12,,,AA01WA1V
CC(F)(F)CC#N,ChemSpace,,eNovation CN,95,1.0,g,35,1932.0,1932.0,,,Y3135671
CC1CC(=O)OC1=O,ChemSpace,,Angene US,98,100.0,g,40,57.0,0.57,,,AG003S4C
CCC(C#N)C#N,ChemSpace,,BLD Pharmatech GmbH,95,1.0,g,30,206.0,206.0,,,BD00853735
CCC(C)(C)C#N,ChemSpace,,"BLD Pharmatech Co., Limited",95,1.0,g,30,480.0,480.0,,,BD00878090
CCC(C)(C)CC#N,ChemSpace,,Enamine Ltd,95,1.0,g,30,804.0,804.0,,,EN300-1829922
CCC(C)C#N,ChemSpace,,Angene US,95,5.0,g,40,41.0,8.2,,,AG003HP0
CCC(C)CC#N,ChemSpace,,BLD Pharmatech GmbH,97,1.0,g,30,426.0,426.0,,,BD00952787
CCC(C=O)C#N,ChemSpace,,ChemShuttle,95,10.0,g,35,2310.0,231.0,,,169152
CCC(CC)C#N,ChemSpace,,Accela ChemBio Inc.,95,25.0,g,30,900.0,36.0,,,SY059782
CCC(Cl)C#N,ChemSpace,,"BLD Pharmatech Co., Limited",95,5.0,g,30,1327.0,265.4,,,BD01062969
