solv_comb_sm,score,database,class
FC(Cl)C#N,0.6406418683664683,emolecules,Nitriles
CC(C#N)C#N,0.6372016196617398,emolecules,Nitriles
COC(=O)C#N,0.6325830510863646,emolecules,Esters
FC(F)C#N,0.6313847571585898,emolecules,Nitriles
CC(=O)OC(C#N)C#N,0.6252738195098453,emolecules,Esters
CC(Cl)C#N,0.6215219981055005,emolecules,Nitriles
CC(F)(F)C#N,0.6184316866532658,emolecules,Nitriles
CCC(C#N)C#N,0.6173318590294943,emolecules,Nitriles
O=COCC#N,0.6166216314457309,emolecules,Nitriles
ClC(Cl)C#N,0.6159131649106062,emolecules,Nitriles
CCC(C)C#N,0.6143225378447392,emolecules,Nitriles
FC(F)CC#N,0.614125529831677,emolecules,Nitriles
CCOC(=O)C#N,0.6139762544441587,emolecules,Esters
ClC(Cl)(C#N)C#N,0.6115726887227391,emolecules,Nitriles
CCC(F)(F)C#N,0.6106200677599922,emolecules,Nitriles
CC(C#N)C(C)(F)F,0.6080912918605192,emolecules,Nitriles
CC(F)(F)CC#N,0.6079779361860401,emolecules,Nitriles
CC(C)CC#N,0.6073367331546684,emolecules,Nitriles
CC(CF)C#N,0.6070083472125887,emolecules,Nitriles
CCOC(=O)C(C#N)C#N,0.6069263042110107,emolecules,Esters
ClCCC#N,0.6066907045606983,emolecules,Nitriles
ClC(C=O)C#N,0.6051924410885681,emolecules,Nitriles
CC(C)(F)C#N,0.6050874024837911,emolecules,Nitriles
CC(Cl)(Cl)C#N,0.6050382663043072,emolecules,Nitriles
CC(C#N)C(F)(F)F,0.6041991671001492,emolecules,Nitriles
CCC(C)CC#N,0.6028535878958128,emolecules,Nitriles
CC(C)(C#N)C(F)F,0.6015871960295605,emolecules,Nitriles
CC(C#N)C(F)F,0.6015534793310477,emolecules,Nitriles
ClC(Cl)(Cl)C#N,0.599483167177431,emolecules,Nitriles
CCCCC#N,0.5994180802758806,emolecules,Nitriles
ClCC(Cl)C#N,0.5990430484656628,emolecules,Nitriles
CC(CCC#N)C#N,0.5987138277194541,emolecules,Nitriles
FC(C#N)C(F)(F)F,0.5983551168481667,emolecules,Nitriles
FC(F)C(F)(F)CC#N,0.5977350736743174,emolecules,Nitriles
CC(C)(C#N)C(Cl)=O,0.5975967912321949,emolecules,Nitriles
FC(F)(F)CC#N,0.5975275644211401,emolecules,Nitriles
CCC(Cl)C#N,0.5968199357886492,emolecules,Nitriles
FC(F)CCC#N,0.5962461102753982,emolecules,Nitriles
FC(F)(F)C(F)(F)C(F)(F)C#N,0.595897444841007,emolecules,Nitriles
CC(CCl)C#N,0.5947550719149444,emolecules,Nitriles
CC(C#N)C(F)(F)C(F)F,0.5946915299175342,emolecules,Nitriles
FC(F)(F)C(F)(F)CC#N,0.5945820578891676,emolecules,Nitriles
ClC(=O)CC#N,0.5941786482958598,emolecules,Nitriles
CC(C#N)C(F)(F)C(F)(F)F,0.5933753907664419,emolecules,Nitriles
CC(CCF)C#N,0.5926066423033822,emolecules,Nitriles
CC(CC(F)(F)F)C#N,0.5922525416778903,emolecules,Nitriles
CC1CC(=O)OC1=O,0.5919860212231014,emolecules,Esters
COC(=O)C=O,0.5919188011601422,emolecules,Esters
FC(F)C1CC(=O)OC1=O,0.5915003014278634,emolecules,Esters
COC(=O)CF,0.5906654357112272,emolecules,Esters
