solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,,solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,conc_salt,temperature,conductivity,conductivity_log
O=C1OCCO1,COC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.447058824,0.552941176,0,0,1,25,11.7,2.459588842
O=C1OCCO1,CCCCOC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.422222222,0.577777778,0,0,1,25,5.900000001,1.774952351
O=C1OCCO1,CC(C)COC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.422222222,0.577777778,0,0,1,25,5.400000002,1.686398954
O=C1OCCO1,CCC(C)OC(=O)OC,,,[Li+].F[P-](F)(F)(F)(F)F,,0.422222222,0.577777778,0,0,1,25,6.500000001,1.871802177
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,10,2.100000001,0.741937345
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,20,2.6,0.955511445
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,30,3.000000001,1.098612289
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,40,3.299999998,1.193922468
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.2,25,0.1,-2.302585093
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.5,25,0.8,-0.223143551
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,0.75,25,1.6,0.470003629
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,25,2.199999999,0.78845736
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1.25,25,2.5,0.916290732
CCOC(=O)OCC,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,2,25,2.100000001,0.741937345
CCOC(=O)OC(C)F,,,,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,,1,0,0,0,1,10,1,0
