solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,protocol,current_density,coulombic_efficiency,log(1-CE)
CC1COC(=O)O1,,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,,0,2,0.8,-1.609437912
CC1COC(=O)O1,,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,O=S=O,1,5,0.836,-1.807888851
C1CCOC1,,,F[As-](F)(F)(F)(F)F.[Li+],,,1,5,0.894,-2.244316185
CC1CCCO1,,,F[As-](F)(F)(F)(F)F.[Li+],,,1,0.9,0.974,-3.649658741
CC1CCCO1,,,F[As-](F)(F)(F)(F)F.[Li+],,,1,0.9,0.974,-3.649658741
CCOCC,C1CCOC1,,F[As-](F)(F)(F)(F)F.[Li+],,,2,5,0.978,-3.816712826
CC1CCCO1,COCCOC,,F[As-](F)(F)(F)(F)F.[Li+],,,2,1.4,0.98,-3.912023005
O=C1OCCO1,C1COCO1,,F[As-](F)(F)(F)(F)F.[Li+],,,1,1.5,0.98,-3.912023005
C1COCO1,COCOC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,3,0.25,0.99,-4.605170186
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.2,0.991,-4.710530702
O=C1OCC(F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,3,0.25,0.996,-5.521460918
C1CCOC1,CF,O=C=O,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,1,0.5,0.999,-6.907755279
O=C1OCCO1,COC(=O)OC,CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],,Cl[Al](Cl)Cl,3,0.5,0.99,-4.605170186
O=C1OCC(F)O1,FC(F)(F)COC1OCO1,FC(F)C(F)(F)OCC(F)(F)F,F[P-](F)(F)(F)(F)F.[Li+],,,3,0.2,0.992,-4.828313737
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,3,1,0.992,-4.828313737
O=C1OCCO1,COC(=O)OC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.2,0.993,-4.96184513
COC(=O)OC,FC(F)(F)COCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.995,-5.298317367
COCCOC,FC(F)(F)COC(OCC(F)(F)F)OCC(F)(F)F,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.995,-5.298317367
C1COCO1,COCCOC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],O=[N+]([O-])[O-].[Li+],2,0.5,0.996,-5.521460918
CN(C)S(=O)(=O)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0.5,0.99,-4.605170186
CC#N,CF,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,1,3,0.994,-5.11599581
COCC(F)(F)C(F)(F)COC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,2,0.5,0.995,-5.298317367
CCN(CC)S(=O)(=O)C(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,3,0.5,0.99,-4.605170186
O=C1OCCO1,CCOC(=O)OCC,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,,1,1,0.861,-1.973281346
C1COCO1,,,[Li+].[O-][Cl+3]([O-])([O-])[O-],,,1,1,0.93,-2.659260037
O=C1OCCO1,CCOC(=O)OC,,O=C1O[B-](F)(F)OC1=O.[Li+],,,1,0.5,0.95,-2.995732274
O=C1OCCO1,CCOC(=O)OCC,,O=C1O[B-](F)(F)OC1=O.[Li+],,,1,0.1,0.95,-2.995732274
C1COCO1,COCOC,,O=S(=O)(F)[N-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],,,1,0.5,0.97,-3.506557897
CC1COC(=O)O1,,,F[As-](F)(F)(F)(F)F.[Li+],,,1,2.5,0.842,-1.845160246
C1CCOC1,,,F[As-](F)(F)(F)(F)F.[Li+],,,2,1,0.95,-2.995732274
CC1CCCO1,COCCCOC,,F[As-](F)(F)(F)(F)F.[Li+],,,1,1.4,0.945,-2.900422094
CC1CCCO1,,,F[As-](F)(F)(F)(F)F.[Li+],,,1,2.5,0.968,-3.442019376
O=C1OCCO1,CC1COC(=O)O1,,F[As-](F)(F)(F)(F)F.[Li+],,,2,0.5,0.97,-3.506557897
COCOC,,,F[As-](F)(F)(F)(F)F.[Li+],,,2,0.5,0.975,-3.688879454
O=C1OCCO1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=c1occo1,1,0.6,0.8,-1.609437912
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,2,0.5,0.82,-1.714798428
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,1,0.863,-1.987774353
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,0,5,0.879,-2.111964733
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,0,2.5,0.881,-2.128631786
O=C1OCCO1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,3,0.5,0.89,-2.207274913
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,1,0.911,-2.419118909
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,O=c1occo1,0,1,0.93,-2.659260037
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCC(F)O1,3,0.5,0.95,-2.995732274
O=C1OCCO1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCC(F)O1,2,1,0.952,-3.036554268
O=c1occo1,,,F[P-](F)(F)(F)(F)F.[Li+],,,3,0.5,0.95,-2.995732274
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,F[P-](F)(F)(F)(F)F.[Cs+],0,0.5,0.975,-3.688879454
O=C1OCC(F)O1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,,1,1,0.976,-3.729701449
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCC(F)O1,3,0.1,0.98,-3.912023005
O=C1OCC(F)O1,,,F[P-](F)(F)(F)(F)F.[Li+],,,0,0.5,0.98,-3.912023005
O=C1OCCO1,CCOC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,O=C1OCC(F)O1,0,0.5,0.981,-3.9633163
O=C1OCCO1,CCOC(=O)OCC,,F[P-](F)(F)(F)(F)F.[Li+],,O=[N+]([O-])[O-].[Li+],1,1,0.981,-3.9633163
O=C1OCC(F)O1,O=C(OCC(F)(F)F)OCC(F)(F)F,,F[P-](F)(F)(F)(F)F.[Li+],,,1,1,0.983,-4.074541935
O=C1OCC(F)O1,COC(=O)OC,,F[P-](F)(F)(F)(F)F.[Li+],,,3,0.5,0.985,-4.199705078
O=C1OCCO1,COC(=O)OC,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,O=c1occo1,1,0.6,0.82,-1.714798428
C1COCO1,COCCOC,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,0,0.25,0.827,-1.754463684
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,0,2.5,0.937,-2.764620553
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,0,0.5,0.939,-2.796881415
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,0,5,0.954,-3.079113882
COCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,1,0.5,0.979,-3.863232841
O=C1OCCO1,CCOC(=O)OCC,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,1,0.87,-2.040220829
