solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,mol_wt_solv_1,mol_wt_solv_2,mol_wt_solv_3,mol_wt_solv_4,mol_wt_salt,conc_salt,temperature
0.447058824,0.552941176,0,0,88.01604399,90.03169405,0,0,151.9801855,1,25
0.422222222,0.577777778,0,0,88.01604399,132.0786442,0,0,151.9801855,1,25
0.422222222,0.577777778,0,0,88.01604399,132.0786442,0,0,151.9801855,1,25
0.422222222,0.577777778,0,0,88.01604399,132.0786442,0,0,151.9801855,1,25
1,0,0,0,118.0629942,0,0,0,286.9332984,1,10
1,0,0,0,118.0629942,0,0,0,286.9332984,1,20
1,0,0,0,118.0629942,0,0,0,286.9332984,1,30
1,0,0,0,118.0629942,0,0,0,286.9332984,1,40
1,0,0,0,118.0629942,0,0,0,286.9332984,0.2,25
1,0,0,0,118.0629942,0,0,0,286.9332984,0.5,25
1,0,0,0,118.0629942,0,0,0,286.9332984,0.75,25
1,0,0,0,118.0629942,0,0,0,286.9332984,1,25
1,0,0,0,118.0629942,0,0,0,286.9332984,1.25,25
1,0,0,0,118.0629942,0,0,0,286.9332984,2,25
1,0,0,0,136.0535724,0,0,0,286.9332984,1,10
1,0,0,0,136.0535724,0,0,0,286.9332984,1,20
1,0,0,0,136.0535724,0,0,0,286.9332984,1,30
1,0,0,0,136.0535724,0,0,0,286.9332984,1,40
1,0,0,0,136.0535724,0,0,0,286.9332984,1,60
1,0,0,0,136.0535724,0,0,0,286.9332984,0.25,25
1,0,0,0,136.0535724,0,0,0,286.9332984,0.5,25
1,0,0,0,136.0535724,0,0,0,286.9332984,0.75,25
1,0,0,0,136.0535724,0,0,0,286.9332984,1,25
1,0,0,0,136.0535724,0,0,0,286.9332984,1.25,25
1,0,0,0,136.0535724,0,0,0,286.9332984,2,25
1,0,0,0,190.0253069,0,0,0,286.9332984,1,10
1,0,0,0,190.0253069,0,0,0,286.9332984,1,20
1,0,0,0,190.0253069,0,0,0,286.9332984,1,30
1,0,0,0,190.0253069,0,0,0,286.9332984,1,50
1,0,0,0,190.0253069,0,0,0,286.9332984,1,60
1,0,0,0,190.0253069,0,0,0,286.9332984,0.5,25
1,0,0,0,190.0253069,0,0,0,286.9332984,0.75,25
1,0,0,0,190.0253069,0,0,0,286.9332984,1,25
0.5,0.5,0,0,88.01604399,118.0629942,0,0,105.9645157,0.67,25
1,0,0,0,88.01604399,0,0,0,286.9332984,1,30
1,0,0,0,88.01604399,0,0,0,286.9332984,1,40
1,0,0,0,88.01604399,0,0,0,286.9332984,1,50
1,0,0,0,88.01604399,0,0,0,286.9332984,1,60
1,0,0,0,88.01604399,0,0,0,286.9332984,0.1,25
1,0,0,0,88.01604399,0,0,0,286.9332984,0.5,25
1,0,0,0,88.01604399,0,0,0,286.9332984,0.75,25
1,0,0,0,88.01604399,0,0,0,286.9332984,1,25
1,0,0,0,88.01604399,0,0,0,286.9332984,1.25,25
1,0,0,0,88.01604399,0,0,0,286.9332984,1.5,25
1,0,0,0,88.01604399,0,0,0,286.9332984,2,25
1,0,0,0,106.0066222,0,0,0,286.9332984,1,10
1,0,0,0,106.0066222,0,0,0,286.9332984,1,20
1,0,0,0,106.0066222,0,0,0,286.9332984,1,30
