solv_comb_sm,salt_sm,true_conductivity_log,class,group
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.33339,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.29729,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.25401,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.20222,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.13799,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.06073,Ether,in-house
C(COCCOCCOCC(F)(F)F)(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.02214,Ether,in-house
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.41799,Ether,in-house
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.37805,Ether,in-house
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.32784,Ether,in-house
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.26965,Ether,in-house
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.19604,Ether,in-house
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.10389,Ether,in-house
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.0105,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.44653,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.39938,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.34096,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.26686,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.17233,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.05571,Ether,in-house
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.09094,Ether,in-house
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.17036,Ether,in-house
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.22527,Ether,in-house
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.28372,Ether,in-house
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.35853,Ether,in-house
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.45127,Ether,in-house
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.56456,Ether,in-house
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.70162,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.15433,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.10396,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.0377,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.04326,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.14624,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.27577,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.43495,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.26695,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.20341,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.12285,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.02172,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.10106,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.2526,Ether,in-house
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.4388,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.31464,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.25085,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.16899,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.06514,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.06215,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.22451,Ether,in-house
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,-0.41352,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.37173,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.31398,Ether,in-house
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,0.25229,Ether,in-house
