solvent_1_smiles,solvent_2_smiles,solvent_3_smiles,salt_1_smiles,salt_2_smiles,additive_smiles,solv_1_ratio,solv_2_ratio,solv_3_ratio,salt_1_conc,salt_2_conc,protocol,current_density,CE,log(1-CE)
FC(F)(F)COCCOCCOCC(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.9914114310006826,-2.066079190938418
FCCOCCOCCOCCF,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.8747475639869113,-0.9022138188598844
CCOC(OCC)OCC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.984960736995177,-1.8227734457112
COCCOCC(C)C,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.9742936689998504,-1.5899599046911173
COCCOC(C)(C)C,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.9822806039970778,-1.751551085895278
CCCCOCCOC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.9830000000012593,-1.7695510786538982
COCCOC(C)C,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.9850000000018011,-1.8239087409964656
CCOCCOC(C)C,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.9889999999979786,-1.9586073147619665
CCC[Si](OC)(OC)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.979999999991437,-1.6989700041500773
CCCCCC[Si](OC)(OC)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.8570000000397211,-0.8446639626555723
COCCOCCO[Si](C)(C)C,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.964000000017063,-1.4436974994385567
CCOC1OCC(C(F)(F)F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,1,0.5,0.978,-1.6575773191777932
CCOC1OCC(C(F)(F)F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,1,1.0,0.9789999999999999,-1.677780705266079
CCOC1OCC(C(F)(F)F)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,1,1.0,0.987,-1.886056647693163
FC(F)(F)C1COCO1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,2.0,0,1,1.0,0.9850000000000001,-1.82390874094432
CC1COCO1,,,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],,,1,0,0,2.0,0,1,1.0,0.9010000000000002,-1.0043648054024514
FCCOCCF,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,2,0.5,0.997,-2.5228787452803387
COCC(C)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,2.0,0,2,0.5,0.99,-1.9999999999999991
COCC(OC)C(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,2.0,0,2,0.5,0.996,-2.397940008672039
CS(=O)(=O)OCC(F)(F)F,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,2.0,0,2,0.5,0.9914,-2.06550154875643
CCOS(C)(=O)=O,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,2.0,0,2,0.5,0.9296,-1.1524273408578878
CO[Si](C)(CCC(F)(F)F)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,1,1.0,0.9840000000000001,-1.795880017344077
CO[Si](C)(CCC(F)(F)F)OC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,3.0,0,1,1.0,0.991,-2.045757490560676
CC1CCC(C)O1,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.0,0,1,1.0,0.9840000000000001,-1.795880017344077
CCCOCCC,,,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],,,1,0,0,1.8,0,2,0.5,0.9942,-2.2365720064370613
