solv_1_sm,solv_2_sm,solv_3_sm,solv_4_sm,salt_sm,solv_ratio_1,solv_ratio_2,solv_ratio_3,solv_ratio_4,conc_salt,temperature,conductivity,conductivity_log
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.154715818627018,0.33339
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.982850631706008,0.29729
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.7947749525772554,0.25401
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.593015494513064,0.20222
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,1.3740103368910759,0.13799
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,1.1500851610237868,0.06073
C(COCCOCCOCC(F)(F)F)(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.950298404263262,-0.02214
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.618122723021392,0.41799
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,2.388086205671946,0.37805
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,2.12735515499074,0.32784
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.8605870762680217,0.26965
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,1.5705074467538338,0.19604
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,1.2702523294112886,0.10389
C(COCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.9761127824302127,-0.0105
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.795953858560509,0.44653
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,2.508303013970017,0.39938
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,2.1926029798527464,0.34096
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.8486725812834652,0.26686
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,1.4870651641434876,0.17233
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,1.1368678891424735,0.05571
C(COCCOCCOCCOCC(F)(F)F)OCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.8110731040041053,-0.09094
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,0.6755227817158329,-0.17036
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,0.5952919366708808,-0.22527
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,0.5203313584382142,-0.28372
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,0.4379958544435851,-0.35853
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.35377733005058254,-0.45127
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.2725461176540525,-0.56456
C(OCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.19878334758194155,-0.70162
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,1.4266912575846065,0.15433
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.2704570863977718,0.10396
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.090686656515973,0.0377
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,0.9051905263167436,-0.04326
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.7141015898937358,-0.14624
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.5299440250667815,-0.27577
C(OCCOCCOCC(C(F)(F)F)(F)F)COCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.3673245878697971,-0.43495
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,1.8490557263156502,0.26695
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.5973864641126891,0.20341
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.3269360710912308,0.12285
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.0512838675259777,0.02172
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.7923918499383094,-0.10106
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.5589848017438498,-0.2526
C(OCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.3640826637894008,-0.4388
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.063668808321772,0.31464
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,70,1.7817632619312462,0.25085
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,60,1.4756725542684423,0.16899
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,50,1.1618230809911045,0.06514
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,40,0.8666624894396812,-0.06215
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,30,0.5963345885646991,-0.22451
C(OCCOCCOCCOCC(C(F)(F)F)(F)F)COCCOCC(C(F)(F)F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,20,0.3859046396201073,-0.41352
C(OCCOCCOCCOCC(F)(F)F)COCCOCC(F)(F)F,,,,[Li+].[N-](S(=O)(=O)F)S(=O)(=O)F,1,0,0,0,1.0,80,2.353585609553762,0.37173
