smiles,IE
C(C#CC(C)C)(C)C,5.48153455
C(=O)=O,9.433271501
O,7.902120752
C(=C\C)/C(C)C,5.085722631
c1(c(ccc(c1)C)C)C,4.733492864
C(C(C)C)CC,6.129822722
c1(c2ccccc2)cc2c(cc1)cccc2,4.411375458
C(=C\C)(/C=C)\C,4.533660037
C(=CC=C(C)C)(C)C,3.986631753
C1(c2c(c3c1cccc3)cccc2)(C)C,4.478832592
C(C=C)(C)(C)C,5.496226773
C(C(C)(C)C)C=C,5.434215578
[C@@H]12C[C@@H](CCC1)CCC2,5.840724134
C(=C\C=C)/C=C,4.375348864
Fc1c(F)c(F)c(c(c1F)F)F,6.072460202
C(C(C)C)c1ccccc1,5.129636027
C[C@@H]1CCC=CC1,5.016225592
Cc1c(C)cc(cc1C)C,4.637723672
[C@H]12C[C@H](C=C1)C=C2,4.487802624
C(C=C)c1ccccc1,5.077168847
C1C=CC=C1,4.534435425
C(=C(F)F)(C(F)(F)F)F,6.530398878
Cc1c2c(c(c3c1cccc3)C)cccc2,3.77527186
C(c1ccccc1)(c1ccccc1)c1ccccc1,4.966339384
C1CCCCCCC1,6.079004829
C(#Cc1ccccc1)C1CCCCC1,4.774145733
[C@H]12c3c(CC[C@H]1CCCC2)cccc3,4.904101928
C(CC=C)c1c2c(ccc1)cccc2,4.469540631
c12c3C4=Cc1cccc2ccc3[CH][CH]C=C4,4.009462488
C[C]1[CH][C]2[CH][C]([CH]1)CCc1cc(CC2)ccc1,0.487336182
C(=C1CCCC1)c1ccccc1,4.272943436
c12c3c(ccc1CCCC2)CCCC3,4.575053608
C1CC=CC=C1,4.269295837
c12c(ccc(c2)C)cccc1C,4.353259419
C(CC)(CC)C,6.108530734
CC1c2c(c3c1cccc3)cccc2,4.485607076
C(#Cc1ccccc1)[C@H]1[C@H](C)CCCC1,4.756210471
C12=C3[C]4C=C[C]1C=CC2=CC=CC3=CC=C4,3.848127858
Cc1c2c3c4c(c(C)cc(c4CC2)C)CCc3c(c1C)C,4.004042832
[C]1([C]2C(=C(C(=C2Cl)Cl)Cl)Cl)C(=C(C(=C1Cl)Cl)Cl)Cl,4.80462918
