smiles,IE,EA,IE_binned
CCc1cc(c2c(c1)ONO2)OCCOC,4.333825607,-0.511252292,4
CNc1cn(C)c(cc1=c1ccn(C)cc1)OCCOC,1.625010571,-0.194883361,1
COCCOCCOCCOc1c(ccc2c1ONO2)N,3.70652355,-0.317021938,3
C(C(=O)OCC)(CCC(=O)OCC)CCC(=O)OCC,6.212563661,-0.21140287,6
CC(=O)c1cc2c(cc1O)ONO2,4.360543303,0.875247858,4
C1(=C(C(=O)C(=C(C1=O)N(C)C)N(C)C)N(C)C)N(C)C,3.083462448,1.911250527,3
C#Cc1cc(cs1)C(=O)C,5.029866767,0.961810331,5
P(=O)(O)(O)O,6.848762556,0.143786257,6
CC(C)(C)c1cccc2c1ON(C(Cl)(Cl)Cl)O2,4.626220645,2.254014574,4
Cn1ccc(=c2ccn(C)c(c2OCCOC)F)cc1,1.975214523,0.000535861,1
Cc1n[nH]c(=O)c(F)c1,6.798600156,2.487546785,6
C1(=CC(=O)C=CC1=O)Cl,6.430789126,2.971310101,6
C=Cc1cn(C)cc/c/1=c\1/ccn(C)c(c1)C(C)(C)C,1.853422794,0.04662083,1
CC(=O)c1c/c(=c\2/ccn(C)c(c2)C(=O)C)/ccn1C,2.327016303,1.350476383,2
C[C]1[C]2[CH][C]([C]([C]1C)C)CCc1cc(CC2)ccc1,0.415572326,3.497606689,0
CNc1cnc(cn1)NC,3.414031928,0.394904643,3
C/C(=N/c1ccc2c(c1)ON(OCCOCCOC)O2)/O,3.846944974,0.079477261,3
c1c(csc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,5.609388243,2.790442707,5
c1cc2c(cc1)ncc(n2)NC,4.391388097,0.909098022,4
Nc1cnc(O)c(F)c1,5.517142839,1.543840571,5
c12c(c(=O)c3c(n1C)cccc3)cccc2,4.339172404,1.016779224,4
Cc1cncc(C(Cl)(Cl)Cl)n1,5.800896747,2.802118472,5
C=Cc1c(ccs1)C(=O)O,4.73178218,1.248399252,4
CN(C)c1c(=c2ccn(C)cc2)ccn(C)c1F,1.901856096,-0.009268389,1
CCC1=CN(C)C=C[C]1[C]1C=CN(C)C=C1OCCOC,1.734250301,-0.180238235,1
C[C@@]12C[C@H]3C[C@@H]1[C@@H]1[C@H]3N21,6.081535754,0.378827905,6
COCCOCCOCCOc1cc(cc2c1ONO2)O,4.216736979,-0.450128724,4
CCC1=C(N)S/C(=C/2\SC=CS2)/S1,3.07237761,0.339365687,3
c1c(c(cc2c1ONO2)Cl)Cl,4.618278292,1.337511027,4
C/C(=N/c1cc2c(c(c1)OCCOCCOC)[nH]s[nH]2)/O,3.066014884,2.128754071,3
C#CC1=C(c2ccccc2)SC=CC1,4.12621206,0.78617658,4
CCCn1ccc(=c2ccn(C)cc2)cc1C(C)(C)C,1.823843881,-0.266577975,1
C#CC1=C(NC)OC=CC1,3.536244041,0.111975602,3
Cc1cn(C)cc1OC,3.68908394,-1.218892344,3
CC(C)(C)c1cc(c(c(c1)OCOCCOC)C(C)(C)C)OCCOCCCOC,4.392871744,-0.831706825,4
C(=O)(OC)c1c2c(ccc1)cccc2,4.783465896,1.074216566,4
C/C(=N/c1ccc(c2c1ONO2)NC)/O,3.663644445,0.114312304,3
C#C[C@@H]1C=COC=C1F,4.921084988,0.070499415,4
c1cc(c(cn1)C)c1ccncc1N,4.426461574,0.586571375,4
C=Cc1c(ccc2c1ONO2)C(=O)C,4.606163896,1.174141097,4
C1C[C@](CSC1)(N)C,4.499953524,-0.842419874,4
CCc1ccc(/N=C(/C)\O)s1,4.044932557,0.186394544,4
CC1=C(CC=CS1)N(=O)=O,4.707769258,1.794291058,4
C=C[C@H]1CN(C)CCN1C,3.891137345,-0.974078811,3
c1c(C(F)(F)F)ncc(n1)N(=O)=O,6.730526622,2.770958156,6
C(=C\[C@@H](CC=C)O)/c1ccccc1,4.581225767,0.484136681,4
c1cc2c(cc1C(Br)(Br)Br)[nH]sn2C(=O)O,3.871916464,2.865752745,3
C#Cc1cc(C=C)sc1,4.526087392,0.682642236,4
Cn1cc/c(=c/2\ccn(C)c(c2)C(Cl)(Cl)Cl)/cc1C(Br)(Br)Br,2.454949079,4.312850117,2
CCc1c2CCCCc2c(C)c(c1O)O,4.038929195,-0.411194894,4
CCC1=CSC=C(C1)N(C)C,3.156864241,-0.705544022,3
c1c(csc1C(Br)(Br)Br)F,5.274964624,3.028724504,5
CN(C)C1=COC=C(N(C)C)O1,3.143652788,-1.137605809,3
CC(=O)c1c(nccn1)OC,5.431499865,1.469069303,5
C#CC1=CC=C[C@@H]1NC,4.196657206,0.839160458,4
c1(cc2c(cc1NC(=O)C)nccn2)C,4.868605794,1.306236542,4
CC[C@@H]1CN(C)C[C@H](F)N1C,4.366150164,-1.056396742,4
c1ccc(cc1)c1cc2c(cc1O)[nH]s[nH]2,3.264268597,2.566586165,3
S(Cl)c1ccccc1,4.903320858,2.940196816,4
