smiles,IE,EA
COCCOc1cscc1OC,4.306097871,-0.31685969
c1c(c2c(cc1)nccn2)C(=O)O,5.330098194,1.630649834
C=Cc1cccc2c1[nH]sn2OCCOC,3.957699238,3.737185044
c1ccc(cc1)C1(CCCC1)O,5.178551856,-0.684359168
C(#N)C1=COC(=CO1)N,3.910691588,0.658757272
Cn1ccc(=c2cc(n(C)c(c2)OCCOCCOCCOC)N(=O)=O)cc1,2.673604619,1.528380144
Nc1c(N)c(F)ccc1,5.200112036,0.729812351
C=CCn1ccc(=c2ccn(C)cc2)cc1OC,1.700566491,-0.247378132
O(C)c1ccc(cc1)OC,4.080031098,-0.535608345
C#C[C@@H]1CSC[C@H](c2ccccc2)S1,5.038618448,0.833488686
Cn1ccc(=c2ccn(cc2)Cc2ccccc2)c(c1)C(Cl)(Cl)Cl,2.177216618,3.312783008
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)C)F,5.685234275,2.21925734
OC1=N[N]N[C]1[C@H]1CN1,6.162384004,1.471169765
[C@@H]1(CCCSC1)NC(=O)C,4.785882593,-0.696831563
CCc1c2CCCCc2c(c(c1O)O)OCCOCCOC,4.101101659,-0.311290162
CC(=O)c1ccc(C#N)c2c1[nH]s[nH]2,3.458495593,1.492331229
c1(c2ccccc2)c(ccc(c1)Cl)Cl,5.042972728,0.456268374
c1cc(c2c(c1)[nH]sn2F)C(Cl)(Cl)Cl,4.791673976,4.742822862
C=C[C@@H]1CC[C@H](C1)O,5.446171854,-0.724299839
C1C(CCSC1)N(C)C,3.954802214,-0.886087546
COCCOCCOc1cncc(C#N)n1,5.669987418,1.43929914
C#Cc1cc(C(=O)C)sc1,5.172312536,1.242223626
c1cc(ccn1)c1cc(nc(c1)NC(=O)C)C,4.965762434,1.124268005
c1c(c2c(cc1)nccn2)C,5.12703122,1.21043092
C#Cc1cc(cs1)OCCOC,4.374478416,0.65538013
Cc1ccc2c(c1C(=O)O)ONO2,4.487852646,0.941915887
COCCOCCOc1cncc(Cl)n1,5.394962574,0.827158001
C=Cc1c(=c2ccn(C)cc2)ccn(C)c1C(Cl)(Cl)Cl,2.37677867,3.523136951
c1cc2c(cc1)[C](c1c(C2=O)cc(cc1N([CH2])C)C)O,2.715480719,2.153484715
c1c(cc2c(c1N)ONO2)C(Cl)(Cl)Cl,4.368129616,2.766091841
C1=C(Cl)[S]=C(C2=[S]C(=CS2)N(=O)=O)S1,3.706961384,2.303759955
C#C[C@@H]1[C@H](F)SCCS1,5.327450552,0.696939466
c1c(csc1C#N)C(F)(F)F,5.886833116,1.135260343
C#Cc1cscc1NC,3.864110399,0.321767695
C(CCC)CC=O,6.007986347,0.233538253
COc1ccc(OC)s1,3.642372903,-0.034032923
CO[C@@H]1CCCC[C@@H]1[C]([NH])O,5.783557665,-1.017946529
C1C(CCSC1)(F)F,4.976299485,-0.925968232
C[C@@]12CN3[C@H]4[C@@H](C1)[C@H]4[C@@H]23,5.560777541,0.435694017
c1cc(c2c(c1)ON(C(Br)(Br)Br)O2)N(=O)=O,5.131276901,4.771155839
N1([C@@H]2CCC[C@H]1CCC2)SC,3.611291247,0.755428135
CC(=O)c1ccc2c(c1)[nH]sn2O,3.999540017,4.163672268
c1c(c2c(cc1)C(=O)c1c(C2=O)cccc1)N,4.494067789,2.053491903
CCc1c(ccs1)C(F)(F)F,5.11447072,0.193579816
CN1C[C@H](N(C)C[C@H]1O)O,4.827170824,-0.82517095
CC[C@@H]1C=CSC=C1C=C,3.98594302,0.189357581
C=Cc1cccc2c1[nH]sn2N(C)C,3.511337393,0.493958086
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)NC)NC,4.114541641,1.807311014
C(=O)c1c(C)cc(cc1C)C,5.27841284,0.932714769
[C@@H]1(C[C@H](CSC1)C=C)C,4.644638744,-0.608401913
CC[C@H]1CCCC[C@H]1c1ccccc1,5.08942179,-0.782192164
CNc1c/c(=c/2\ccn(C)c(c2)Cl)/ccn1C,1.806034865,1.13473848
C#Cn1c2cc(ccc2[nH]s1)F,3.660886318,3.219838129
CC(C)(C)c1c/c(=c\2/ccn(C)cc2C(F)(F)F)/ccn1C,2.079051866,-0.037126231
C#Cc1cncc(C(Br)(Br)Br)n1,5.822504232,2.895612983
CC(C)(C)c1c(ccs1)NC,3.503437164,-0.665970956
Cn1cc/c(=c\2/ccn(C)c(c2)C(=O)O)/cc1C(=O)O,2.323862365,1.365682934
C1(c2ccccc2)(c2ccccc2)CC1,4.694762845,-0.277624243
C(CN)c1ccc(cc1)O,4.404422171,-0.54530655
N(N(C)C)(CCC)C,3.235413471,-0.968120646
Cc1ccc(OC)s1,3.962969678,-0.174196111
CC[C@H]1C=CC=C1CC,4.176656161,-0.162031281
C=Cc1cn(ccc1=c1ccn(C)cc1)C/N=C(\C)/O,2.030681862,-0.160541972
c1ccc(cc1)C1=CSC=C(C(=N)O)S1,4.145624637,0.959769497
CC(C)(C)c1cc2c(cc1C(C)(C)C)[nH]s[nH]2,3.238689575,2.513279851
C(=O)(O)c1cc(S([O])([O])O)ccc1O,5.627141546,1.218746071
C(=C\c1ccccc1)(\Cl)/c1ccccc1,4.43757503,0.908757246
CCC1=C[C@@H](CC1)C#N,6.608964953,0.648951632
C/C(=N/c1c(F)nccn1)/O,5.067746268,0.904137746
C[C@@H]1CN(C)C[C@H](N)N1C,4.175576706,-1.160870933
c1(cc2c(cc1)ncc(n2)C)N(=O)=O,5.652554818,2.278605292
CN1Oc2ccc(cc2O1)C#N,4.554387185,0.641231356
