smiles,IE,EA
C/C(=N/n1c2cc(ccc2[nH]s1)N(=O)=O)/O,3.466991102,2.020527377
CNc1cccc2c1n(N(=O)=O)s[nH]2,4.193416072,3.172091797
C/C(=N/n1c2c(cccc2[nH]s1)N)/O,3.33131691,1.939277132
CNn1c2c(cccc2N(=O)=O)[nH]s1,3.85888927,1.971483377
C/C(=N/c1cc(cc2c1[nH]s[nH]2)OC)/O,3.284132099,3.026288868
CNc1cc(cc2c1[nH]s[nH]2)N(=O)=O,3.561703504,1.964487641
C/C(=N/c1cc(cc2c1[nH]s[nH]2)N)/O,3.160987215,0.302112208
CNn1c2ccccc2n(N(=O)=O)s1,3.298200814,3.429348985
C/C(=N/c1ccc(c2c1[nH]s[nH]2)N)/O,3.304356598,0.017273276
CNc1ccc2c(c1N(=O)=O)[nH]s[nH]2,3.214874966,1.849048496
CN(C)c1cc(cc2c1[nH]s[nH]2)N(=O)=O,3.615269432,1.998671786
CN(C)n1c2cccc(c2[nH]s1)C(F)(F)F,3.639653466,0.400047347
CNc1cc(cc2c1[nH]s[nH]2)C(Cl)(Cl)Cl,3.575089962,3.017215398
CN(C)c1ccc2c(c1)[nH]sn2N(=O)=O,3.743209217,3.353247626
CNn1c2cc(ccc2[nH]s1)C(Br)(Br)Br,3.599220348,2.810071767
CN(C)c1ccc(c2c1[nH]s[nH]2)N(=O)=O,3.482629688,1.782309646
CN(C)c1ccc2c(c1)n(N(=O)=O)s[nH]2,3.538712511,3.485902344
CN(C)n1c2c(cccc2N(=O)=O)[nH]s1,3.786893396,1.964252537
CNc1cc2c(cc1C(F)(F)F)[nH]s[nH]2,3.298010236,2.603771528
CN(C)c1ccc(c2c1[nH]s[nH]2)C(F)(F)F,3.55827063,1.957411696
CNc1ccc(c2c1[nH]s[nH]2)N(=O)=O,3.553477173,1.692277925
C#Cc1cc2c(cc1/N=C(/C)\O)[nH]s[nH]2,3.415541352,0.566878834
CNn1c2c(cccc2[nH]s1)C(Cl)(Cl)Cl,3.568150327,2.894044165
C/C(=N/c1ccc(C#N)c2c1[nH]s[nH]2)/O,3.520595144,1.097528861
CNc1ccc(c2c1[nH]s[nH]2)C(F)(F)F,3.416308152,2.166371145
CNc1cc(c2c(c1)[nH]s[nH]2)C(F)(F)F,3.355782905,0.289014262
CNc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,3.811700667,4.314780493
CN(C)c1ccc2c(c1)n(C(F)(F)F)s[nH]2,3.561563654,2.636953538
CC(=O)c1cccc2c1[nH]sn2C,3.091837396,2.113977658
c1ccc2c(c1)n(C(=O)O)sn2C(=O)O,4.057255496,2.285330801
c1cc(c(c2c1[nH]s[nH]2)O)O,3.393225862,2.419510818
CC(=O)c1ccc2c(c1)[nH]s[nH]2,3.503656172,0.996754382
c1cc(c2c(c1)[nH]s[nH]2)C(=O)O,3.37219528,0.860591777
CC(=O)c1cccc2c1n(N)s[nH]2,3.500570069,1.104193625
CC(=O)c1ccc2c(c1)n(OC)s[nH]2,4.010817479,0.997251148
c1cc(c2c(c1)n(C(=O)O)s[nH]2)C(=O)O,3.677732611,2.141273452
COCCOn1c2ccccc2[nH]s1,3.897900549,1.789397431
C#Cc1c(ccc2c1[nH]s[nH]2)N,3.195969825,2.651919661
C=Cc1cc(C=C)c2c(c1)[nH]s[nH]2,3.469570469,0.606582284
CNc1ccc2c(c1C(=O)O)[nH]s[nH]2,3.093934928,0.748310129
CC(=O)n1c2cc(ccc2[nH]s1)C(F)(F)F,3.778123202,2.08195254
COCCOn1c2ccc(cc2[nH]s1)C(F)(F)F,4.030490254,3.908944776
CC(=O)c1ccc2c(c1Cl)[nH]s[nH]2,3.498041919,2.702499286
CC(=O)n1c2ccc(cc2[nH]s1)F,3.811159583,2.83852449
COCCOn1c2c(cccc2[nH]s1)C(Cl)(Cl)Cl,4.003973277,2.914281514
COCCOn1c2ccccc2n(C(Cl)(Cl)Cl)s1,4.291098692,3.949946734
CC(=O)c1cc(c2c(c1)[nH]s[nH]2)C(F)(F)F,3.68198209,1.227116007
CC(=O)n1c2ccc(cc2[nH]s1)Cl,3.685001512,2.025876569
C=Cn1c2ccc(C)cc2[nH]s1,3.304884148,2.70608588
c1cc(C#N)c2c(c1)[nH]sn2N(=O)=O,3.32309369,3.92865018
C#Cc1ccc2c(c1)[nH]sn2N,3.435171334,2.692426437
c1cc2c(cc1C(Cl)(Cl)Cl)n(F)s[nH]2,4.808385733,5.023359432
CC(=O)c1cc2c(cc1Cl)[nH]s[nH]2,3.581711229,1.114652334
CC(=O)c1cccc2c1[nH]sn2C(Cl)(Cl)Cl,3.647402737,4.313050915
c1cc2c(c(c1)N(=O)=O)n(F)s[nH]2,4.90676051,5.114342002
COn1c2ccc(cc2[nH]s1)C(F)(F)F,4.036838011,3.895554669
c1cc(c2c(c1)[nH]sn2N(=O)=O)C(Cl)(Cl)Cl,3.051917773,3.973352976
COn1c2cc(ccc2[nH]s1)C(F)(F)F,4.049693474,3.876900455
CN(C)c1cccc2c1[nH]sn2O,3.775513625,1.665506209
C/C(=N/c1cc(cc2c1[nH]s[nH]2)C(F)(F)F)/O,3.454216736,0.411970282
COCCOCCOCCOc1cc(c2c(c1)[nH]s[nH]2)C(Cl)(Cl)Cl,3.191422696,2.939828007
COCCOCCOCCOn1c2c(cccc2[nH]s1)F,4.095231505,1.524390201
C/C(=N/n1c2ccc(cc2[nH]s1)C(F)(F)F)/O,3.41124391,2.33144891
C/C(=N/c1cc(c2c(c1)[nH]s[nH]2)C(F)(F)F)/O,3.503938003,0.490807392
C/C(=N/c1cc(cc2c1[nH]s[nH]2)C(Cl)(Cl)Cl)/O,3.435546021,2.745547564
COCCOCCOc1cccc2c1n(C(F)(F)F)s[nH]2,4.045646015,2.810939655
C/C(=N/c1ccc2c(c1)n(C(Cl)(Cl)Cl)s[nH]2)/O,3.676013469,4.56270272
COCCOn1c2cc(ccc2[nH]s1)C(Cl)(Cl)Cl,4.00570006,2.872196572
COCCOCCOn1c2ccc(cc2[nH]s1)C(Cl)(Cl)Cl,3.960572772,2.709167354
COCCOCCOn1c2ccc(cc2[nH]s1)C(F)(F)F,3.987724886,3.902597133
COCCOn1c2c(cccc2[nH]s1)C(Br)(Br)Br,4.017495057,3.117352858
COCCOCCOCCOn1c2ccccc2n(Cl)s1,4.572147786,4.014578821
COCCOCCOCCOn1c2ccccc2n(C(F)(F)F)s1,4.223293755,2.659099112
COCCOc1cc(c2c(c1)[nH]s[nH]2)Cl,3.48668435,1.479278151
COCCOc1c(ccc2c1[nH]s[nH]2)C(Cl)(Cl)Cl,3.665190378,2.897149474
COCCOCCOc1cc(c2c(c1)[nH]s[nH]2)F,3.540099744,2.013220579
COCCOCCOn1c2cccc(c2[nH]s1)Cl,4.014089438,1.726122321
COCCOCCOn1c2ccccc2n(C(Br)(Br)Br)s1,4.199185437,4.137592965
COCCOCCOCCOc1cc2c(cc1C(Cl)(Cl)Cl)[nH]s[nH]2,3.531835364,2.964448756
COCCOCCOc1ccc2c(c1)[nH]sn2C(Cl)(Cl)Cl,3.759912865,2.609166035
COCCOCCOc1cccc2c1[nH]sn2C(Cl)(Cl)Cl,3.526909499,3.966296662
COCCOCCOc1cc(c2c(c1)[nH]s[nH]2)Cl,3.500007147,1.223025652
COCCOCCOn1c2cccc(c2[nH]s1)F,3.991932501,1.808831823
COCCOc1cc2c(cc1C(F)(F)F)[nH]s[nH]2,3.510264375,2.372172049
COCCOCCOCCOn1c2ccc(cc2[nH]s1)F,3.952599248,1.690454414
COCCOCCOCCOc1ccc(c2c1[nH]s[nH]2)C(F)(F)F,3.466765429,1.842795937
COCCOc1c(ccc2c1[nH]s[nH]2)Cl,3.552081834,2.207755649
COCCOCCOc1ccc(c2c1[nH]s[nH]2)F,3.276958911,1.974414555
COCCOCCOc1cccc2c1[nH]sn2F,4.440038923,3.846987073
COCCOCCOCCOc1cc2c(cc1Cl)[nH]s[nH]2,3.561100054,1.30092706
COCCOn1c2c(cccc2[nH]s1)Cl,4.134371358,1.890280504
COCCOCCOCCOn1c2cc(ccc2[nH]s1)C(Cl)(Cl)Cl,4.02963051,2.651582193
COCCOc1c(ccc2c1[nH]s[nH]2)C(F)(F)F,3.360701937,2.2519847
COCCOCCOCCOc1c(ccc2c1[nH]s[nH]2)F,3.228364136,1.994648325
COCCOCCOCCOn1c2cc(ccc2[nH]s1)Cl,3.95769636,3.828541235
COCCOCCOCCOn1c2c(cccc2[nH]s1)C(F)(F)F,4.178657635,4.001186303
COCCOCCOCCOc1ccc(c2c1[nH]s[nH]2)Cl,3.109363027,2.235062847
COCCOCCOc1cc(cc2c1[nH]s[nH]2)F,3.213760701,2.150766502
COCCOCCOCCOc1ccc(c2c1[nH]s[nH]2)F,3.114812144,2.279187543
COCCOc1cc(cc2c1[nH]s[nH]2)C(Cl)(Cl)Cl,3.326591863,2.911315141
