smiles,IE
[C]1(C=CN(C=C1)[O])C#N,5.238838729
C#C[C@]1(CSCCS1)C(Cl)(Cl)Cl,5.238717142
c1c[nH]c(c1F)C(=O)O,5.238340543
C1=COC=C([C@@H]1O)C(=N)O,5.237714463
[C@@H]1(CC[C@H](SC1)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,5.237619854
c1c(c(ccn1)c1ccncc1O)C,5.237467634
O(C)c1c(Cl)c(C(=O)O)ccc1Cl,5.237124539
Nc1c(N)c(=O)cn[nH]1,5.236958187
C1[C@@H](C(=O)O)SC[C@@H](N(=O)=O)S1,5.236470095
c1(cc2c(cc1)ncc(n2)CC)CC,5.236159458
c1c(csc1Cl)C(=O)O,5.236010756
c1c[nH]c(=O)c(F)n1,5.235113496
Nc1c(NC=N)ocn1,5.234931709
C#C[C@H]1CCCC[C@H]1c1ccccc1,5.234319021
C#Cc1ccsc1C(Cl)(Cl)Cl,5.233884711
[C@H]1(C(=O)CCCC1)O,5.233754809
C1CS[C@@](CS1)(C(=N)O)C(Cl)(Cl)Cl,5.233723099
c1ccc(cc1)c1c(Cl)nccn1,5.232999065
c1cc(cc(n1)C)c1ccncc1O,5.23259011
C=CC1(C=C)CCCC1,5.232444578
C(=O)([C@H](O)c1ccccc1)N1[C@H](C)CCC1=O,5.232415438
c1cc2c(c(c1N(=O)=O)N(=O)=O)ONO2,5.232088752
c1c(csc1Cl)C(Cl)(Cl)Cl,5.231993136
C#C[C@@H]1[C@H](C(=N)O)SCCS1,5.231881046
C#C[C@H]1C=CC=C[C@@H]1C#N,5.231643104
CN[C@H]1[C@@H](C#N)OCCO1,5.230949342
C1=CSC=C([C@@H]1C(=O)O)N(=O)=O,5.230947337
C1C=C(C(=N)O)OC=C1C(=O)O,5.230785764
c1ccc(cc1)c1cncc(C(Cl)(Cl)Cl)n1,5.230679703
C1[C@H]([C@H](CSC1)C#N)C#N,5.229937488
c1c(F)[nH]c(=O)cn1,5.229820873
C(=C(\[S@](=O)CCC)/Cl)(/[S@](=O)CCC)\Cl,5.229568216
CC[C@]1(COCCO1)c1ccccc1,5.229515566
C=C[C@@H]1CS[C@H](C#N)CS1,5.229437336
C[C@@H]1CC[C@H](C1)c1ccccc1,5.228649049
c1ccc(cc1)[C@@H]1C=COC=C1N(=O)=O,5.228220909
O(C)c1c(N(=O)=O)cccc1,5.227932741
CO[C@@H]1C=CSC=C1N(=O)=O,5.227117686
CO[C@@H]1C=COC=C1C(=N)O,5.226059449
C(CCCCCCS)CCCCCS,5.225966288
C(#N)C1=COC(=CO1)C#N,5.225206515
CO[C@H]1CSC[C@@H](F)S1,5.225036779
Nc1ccc(O)c(F)c1,5.224915651
C/C(=N/c1cnc(cn1)C(=O)O)/O,5.224726959
c1ccc(cc1)[C@@H]1CCC[C@@H]1O,5.224619141
C#C[C@H]1C=CC=C1C(=O)O,5.224187885
c1cc2c(cc1N(=O)=O)ON(C(Cl)(Cl)Cl)O2,5.224039611
C1(C(=C(C(C1(F)F)(F)F)c1c(sc(c1)C=O)CCC)c1c(sc(c1)C=O)CCC)(F)F,5.2240265
C([C@@H]1C(=C(C#N)C#N)CC(C1)(C)C)C1=CCOC1=O,5.223443632
[C@H](CCC)(CC)S,5.223239343
C1C(=CSC=C1N(=O)=O)C(=O)O,5.22286625
Nc1coc(NC=N)n1,5.222776525
O=c1oc2c(cc1)cccc2,5.222524557
Cc1c(C(C)(C)C)nccn1,5.222467465
C(=O)c1ccc(cc1)c1cccnc1,5.222397268
C(CC(C)(C)Cl)c1ccccc1,5.222369403
C#Cc1ccsc1C(=O)C,5.222096002
C(=O)(O[C@@H](CCC(=O)N1CCCC1)C)c1ccc(cc1)C,5.222054886
O=c1n(c(=O)[nH][nH]1)c1ccccc1,5.221945115
c1(cc(ccc1)O)C#N,5.221804693
O(C(=C)C)C(=O)C,5.221049806
c1cc2c(cc1)C(=O)c1c(C2=O)c(ccc1C#C)C#C,5.220803214
C#C[C@H]1C=CC=C[C@@H]1C(=N)O,5.220719545
C(=O)(OC)[C@@]12[C@@](OC)(O[C@H](C1)c1ccccc1)CCCC2,5.220565269
c1cc2c(cc1)nc(c(n2)C)CC,5.220318653
c1csc(c1C(=O)O)Cl,5.22016139
OC1=N[C](N[CH]1)NC=N,5.220067272
c1cc2c(c(C#N)c1N(=O)=O)ONO2,5.220046033
CC(=O)c1ccc(Cl)s1,5.220023956
C(=O)(NCc1ccccc1)c1ccccc1,5.21997682
Cn1cc(c(c1)C(=O)O)[C]([NH])O,5.219889439
C[C@@H]1CS[C@@H](CS1)C(=N)O,5.219552506
COCCOCCOCCOc1cccc2c1ON(Cl)O2,5.219434748
C=C[C@@H]1CSC[C@H](N(=O)=O)S1,5.219180358
C1=C(C(=N)O)OC(=CO1)N(=O)=O,5.219141081
CC(C)(C)c1cscc1C(F)(F)F,5.218679874
c1(cc2c(cc1C)nccn2)C#C,5.218651106
c1cc(cc(n1)O)c1ccncc1O,5.21828492
O=C1[CH]C(=CN[C]1N)F,5.218205752
CC[C@@H]1[C@H](CC)OCCO1,5.217855936
C1CC(CSC1)(N(=O)=O)N(=O)=O,5.217802163
CC[C@@H]1CS[C@@H](CS1)C(=N)O,5.216398059
C(NC(=O)OCC)c1ccccc1,5.216299161
NC1=N[CH]C(=N[C]1N)O,5.216181371
O=S1(=O)c2c(c3c1cccc3)cccc2,5.216120233
c1(c(ccc(c1)C)Cl)Cl,5.216034547
COCCOc1cccc2c1ON(Cl)O2,5.215990143
c1cc2c(cc1)C(=O)c1c(C2=O)cc(cc1C)O,5.215568873
c1cc(c(cn1)NC(=O)C)c1ccnc(c1)NC(=O)C,5.215220545
C1C=C(N(=O)=O)SC(=C1)N(=O)=O,5.215211318
Cl[C@@]12[C@@H]3[C@H]([C@@]([C@@H]1Cl)(C=C2Cl)Cl)[C@H]1C[C@@H]3C=C1,5.214770719
C=C[C@H]1[C@@H](C)OCCO1,5.21463394
N([C@@H](OC)C)(C(=O)C)CC,5.214566947
c1c(c2c(cc1)ncc(n2)C)C(=O)O,5.214050097
S=C1OCCO1,5.21348256
C=C[C@@H]1CSC[C@H](O)S1,5.212447679
O=C1c2c(C(=O)C=C1)c[nH]c2,5.212405506
Cn1ccc(c1C(=O)O)[C]([NH])O,5.212343497
N(C(=O)c1ccccc1)(Cc1ccccc1)C(=O)OCC(Cl)(Cl)Cl,5.212298709
CC[C@@H]1CSC[C@H](N(=O)=O)S1,5.212174158
c1c(c(cc2c1ONO2)N(=O)=O)N(=O)=O,5.212048052
C(C#N)c1nc2c(s1)cccc2,5.211623897
c1(cc2c(cc1)ncc(n2)C)CC,5.211526888
B(c1ccccc1)(c1ccccc1)c1ccccc1,5.211181366
c1ccc(cc1)[C@@H]1CCC[C@@H](C1)F,5.210623479
c1c(csc1F)C(Br)(Br)Br,5.209864055
C[C@@]1(O)[C@H]2[C@@H](CCCC2)CCC1,5.209716608
C1=COC(=C[C@@H]1O)F,5.209343477
c1cc(cc(n1)C)c1ccnc(c1)C=C,5.209326717
c1(c(N(=O)=O)cccc1)[S@@](=O)C,5.208839307
CN1CCN(C)C(C1)(C(=N)O)C(=N)O,5.208633933
CC[C@H]1[C@@H](C)OCCO1,5.20831065
Oc1c2OCOc2c[nH]1,5.208246995
C1[C@@H](C(=N)O)SC[C@@H](O)S1,5.207796053
c1csc(c1C(Cl)(Cl)Cl)Cl,5.2074021
SC1CCCCC1,5.207173097
c1c(C#N)c2c(cc1N(=O)=O)ONO2,5.206547311
C=C[C@@H]1CS[C@@H](CS1)C(=O)O,5.20619807
C#Cc1cc(C(=O)O)sc1,5.205887465
COCCOCCOc1cccc2c1ON(Cl)O2,5.205558733
O(C)C1=CC(=O)C=C(C1=O)OC,5.204912639
c1ccc(cc1)[C@@H]1CC[C@H](C1)O,5.204671628
c1ccc(cc1)[C@@H]1[C@H](c2ccccc2)OCCO1,5.204513432
Cc1c(ccs1)C#N,5.204295776
Cn1cc(c(c1)N(=O)=O)F,5.204219187
C(=O)(CCC(=O)C)c1cccs1,5.203947925
C=C[C@@H]1CSC[C@H](C(=N)O)S1,5.20387037
C(C(=O)SCc1ccccc1)c1ccccc1,5.203840603
C(=N\O)(/C(=N\O)/C)\C,5.203736533
c1c(c[nH]c1C(=O)O)C(=N)O,5.203547928
O=S1(=O)c2c(CN1C)cccc2,5.203495291
C[C@@]12[C@H]3N4[C@@H]1[C@]2(C)[C@@]34C,5.203413594
c1(c2ccccc2)nc(no1)c1ccccc1,5.203179723
C[C@@H]1CSC[C@H](N(=O)=O)S1,5.203060263
C(#C[Si](C)(C)C)c1ccc(cc1)C=O,5.202711646
c1ccc(cc1)[C@@H]1CSC[C@H](C(=N)O)S1,5.202622513
c1ccc(cc1)c1cnc(cn1)C(Br)(Br)Br,5.202596017
C1=COC(=C(C1)C(=O)O)C(=O)O,5.202562623
CCc1c(ccs1)C#N,5.201879419
C1(C(=O)c2c(C1=O)cccc2)c1ccccc1,5.201801562
C#Cc1ccc(C#N)s1,5.20172261
c1cc(c(cn1)C)c1ccnc(c1)C=C,5.201628524
O=C1N(CCC1)C,5.201622649
C#Cc1c(C=C)nccn1,5.201517687
c1cc2c(c(c1)O)C(=O)c1c(C2=O)c(ccc1)O,5.20129386
C/C(=N/c1c(C(=O)O)nccn1)/O,5.201057129
C(OC)c1ccccc1,5.200775929
c1(C(=O)OCc2ccccc2)ccc(cc1)O,5.200740519
C#C[C@@H]1CS[C@H](C#C)CS1,5.200376227
CCc1cscc1C(F)(F)F,5.200347353
Nc1c(N)c(F)ccc1,5.200112036
C(COCC)OCC,5.199650839
C=Cc1cncc(C)n1,5.199617179
C[C@@H]1CSC[C@H](F)S1,5.199587431
C#Cc1c(ccs1)C#N,5.199391711
c1(cc(cs1)C)C(=O)O,5.199200738
C1C(CC(=O)C=C1OC)(C)C,5.198807893
c1ccc(cc1)c1ccsc1N(=O)=O,5.198567404
N1(c2cc(c(cc2)Cl)Cl)C(=O)C=CC1=O,5.198565714
Cc1cc(C#N)cs1,5.197976561
C=CC1(CCCC1)O,5.197728502
C1[C@@H](C(Cl)(Cl)Cl)SC[C@@H](O)S1,5.197680126
CO[C@@H]1[C@H](OC)OCCO1,5.197562929
C(CC(=O)NCc1ccccc1)c1ccccc1,5.197500225
c1c(C#N)c(cc2c1ONO2)N(=O)=O,5.197408311
c1ccc(cc1)c1cncc(F)n1,5.197141201
c1ccc(cc1)c1cncc(C(Br)(Br)Br)n1,5.197098964
C1=C[C@@H](C(=C1)C(=O)O)O,5.196647018
C1C=C(F)OC(=C1)N(=O)=O,5.196565719
C(CCO)n1c2c(nn1)cccc2,5.196561857
C(=O)(CCC=C)N1[C@@H](OC)CCC1,5.196459921
CCc1cc(C(=O)O)sc1,5.196048746
CO[C@@H]1CS[C@@H](CS1)O,5.19598785
CC(=O)c1cc(Cl)sc1,5.195633078
C(#N)C1=COC(=CO1)C(=O)O,5.195314371
C#C[C@@H]1[C@H](C#C)SCCS1,5.194483275
C1=C[C@@H](C#N)C(=C1)F,5.193609751
Cn1cc(cc1C(=O)N)C(=O)O,5.193593366
CCc1cc(C#N)cs1,5.193158206
C=Cc1cncc(CC)n1,5.193094164
n1(c(=O)n(ccc1=O)C)C,5.192564181
C#Cc1cscc1C(Cl)(Cl)Cl,5.192559887
CC(C)(C)c1cc(C(=O)O)sc1,5.192395615
c1cc(Cl)sc1C(Cl)(Cl)Cl,5.192382355
c1ccc(cc1)[C@]1(CSCCS1)C(=N)O,5.192259425
Cc1cc([nH]c1)N(=O)=O,5.192138513
Cc1ccn(C)c1N(=O)=O,5.192096616
Cc1ccc(C(F)(F)F)s1,5.192033023
c1csc(c1C(Br)(Br)Br)F,5.191948801
Oc1cc(ncc1)c1cc(O)ccn1,5.191607377
c1(cnccc1)/C=N/O,5.191266938
c1c(c2c(cc1)C(=O)c1c(C2=O)cccc1)O,5.191160727
C#Cc1cc([nH]c1)N(=O)=O,5.191122707
Cc1cscc1C(Cl)(Cl)Cl,5.191066483
C(=C\C(=O)C)(/O)\C,5.191060192
c1ccc(cc1)c1cccc2c1ON(Cl)O2,5.190860757
C1(=CN(C=C[CH]1)[O])C#N,5.190658277
C#Cc1c(nccn1)OCCOCCOCCOC,5.190407173
C#Cc1c(nccn1)OCCOC,5.190359433
Clc1nc2c(cc1)cccc2,5.190035392
S(CC(=O)OCC)c1ncccn1,5.189902677
CN1C[C@H](N(C)C[C@H]1N(=O)=O)N(=O)=O,5.189876211
c1(cc2c(cc1)C(=O)c1c(C2=O)c(ccc1)C=C)C=C,5.189702523
CCc1c(C(C)(C)C)nccn1,5.189657532
O=c1n(c(=O)nc(n1C)N(C)C)C1CCCCC1,5.189656484
C(C[C@@H](C)O)c1ccccc1,5.189449724
c1(cc(ccn1)c1ccnc(c1)C=C)C=C,5.189406199
CC[C@]1(CSCCS1)C(=O)O,5.189010276
C#Cc1ccc(C(F)(F)F)s1,5.188919246
C(=O)N1Cc2c(CC1)cccc2,5.18879267
C1CS[C@@](CS1)(C(=O)O)N,5.188770694
c1(cc2c(cc1)nc(cn2)C#C)C#C,5.187862843
C/C(=N/c1c(C(Cl)(Cl)Cl)nccn1)/O,5.187592751
C#Cc1ccc2c(c1)ON(Cl)O2,5.187464934
C1C[C@H]([C@H](SC1)N(=O)=O)C,5.187453731
C1CC[C@H](S[C@H]1C)N(=O)=O,5.187173911
[C@](CC=C)(C)(O)c1ccccc1,5.187124408
c1ccc(cc1)c1cncc(Cl)n1,5.187117918
c1ccc(cc1)c1c(F)nccn1,5.187088799
c1(cc(ccn1)c1ccnc(c1)OC)OC,5.187001097
C([C@]1(C)C(=O)CCCC1)c1ccccc1,5.186968598
C[C@]1(CO1)c1ccccc1,5.18673704
C1CC[C@@](SC1)(C#N)C,5.18670181
c1cc(O)sc1N(=O)=O,5.186499689
C1(=CC=C(C(=O)C1=O)C(C)(C)C)C(C)(C)C,5.186397537
c1c(c(ccn1)c1ccncc1)O,5.186217194
CC(C)(C)c1cc(C#N)cs1,5.185737063
