solv_comb_sm,salt_sm,conductivity_log
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.660960821656781
CC1COC(=O)O1.CCOC(=O)OCC,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.982081289799199
CC1COC(=O)O1.CCOC(=O)OCC,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.598076685283032
COCCOC.O=C1CCCO1,F[P-](F)(F)(F)(F)F.[Li+],0.504062882857811
C1COB(OCCOB2OCCCO2)OC1,[Li+].[O-][Cl+3]([O-])([O-])[O-],0.0691143330529724
CC1COC(=O)O1.CCOC(=O)OCC,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.635105516165079
CCOC(=O)OC.COC(=O)OC.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],-0.0205217371309205
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],1.04610478732315
COC(=O)OC.O=C1OCCO1,F[P-](F)(F)(F)(F)F.[Li+],0.848804701266714
O=C1OCC(F)O1,CC[N+](C)(CC)CC.F[B-](F)(F)F,0.971646881936009
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.347176813327032
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.736628711859895
COC(=O)OCC(C)C.O=C1OCCO1,F[P-](F)(F)(F)(F)F.[Li+],0.732393760009616
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],0.838597252659706
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.862641567099356
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],1.04453976025381
CC1COC(=O)O1.CCOC(=O)OCC,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.456858945278823
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.758905106402736
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,1.32507650565594
CC1COC(=O)O1.CCOC(C)=O,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.588742334485141
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.651695137159424
CC1COC(=O)O1,F[P-](F)(F)(F)(F)F.[Li+],-0.843992427864218
CC1COC(=O)O1.CCOC(=O)OCC,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.799662610777078
CC1COC(=O)O1.O=C1OCCO1,[Li+].c1ccc2cc3c(cc2c1)O[B-]1(O3)Oc2cc3ccccc3cc2O1,0.143014800192164
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.729923281060843
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.598599459014027
N#CC1=CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.594392550427034
CC1COC(=O)O1.CCOC(C)=O,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.655358696445753
CCOC(=O)OC.COC(C)=O.O=C1OCCO1,F[P-](F)(F)(F)(F)F.[Li+],1.22375545363061
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,1.37498414396631
CC1COC(=O)O1,F[B-](F)(F)F.[Li+],0.531478917206368
CC1COC(=O)O1.COCOC,CCCC[N+](CCCC)(CCCC)CCCC.c1ccc([B-](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,-1.52629688548457
CC1COC(=O)O1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.935724305067223
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],0.724505083905845
CC1COC(=O)O1.COCOC,F[As-](F)(F)(F)(F)F.[Li+],-0.748496122572812
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,1.29412363828228
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.925493555692671
CCOC(=O)OC.COC(=O)OC.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],-0.147058508730159
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.719654603012009
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.890548282988169
CCOC(=O)OC.COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)([N-]S(=O)(=O)C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)F.[Li+],-0.328827157486491
CC1CCS(=O)(=O)C1.COCCOCCOC,F[As-](F)(F)(F)(F)F.[Li+],0.658011396673243
CC1COC(=O)O1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.784213043632637
CC1COC(=O)O1,C[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-1.55890600435208
CC1COC(=O)O1.CCOC(=O)OCC,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],-0.0154934282813461
CC1COC(=O)O1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.976395836505927
CC1COC(=O)O1.COCCOC,[Li+].c1ccc2c(c1)O[B-]1(Oc3ccccc3-2)Oc2ccccc2-c2ccccc2O1,-0.055700149970671
CC1COC(=O)O1.CCOC(C)=O,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.819193587997783
CC1COC(=O)O1.CCOC(=O)OCC,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.854136428653187
CC1CCCO1.O=C1OCCO1,O=S(=O)([O-])C(F)(F)F.[Li+],-0.0315170515177949
COCCOC.O=C1CCCO1,F[B-](F)(F)F.[Li+],0.858958054587351
CC1COC(=O)O1.COCCOCCOC.O=C1OCCO1,F[As-](F)(F)(F)(F)F.[Li+],0.922725458209806
CC1COC(=O)O1,CC[N+](C)(CC)CC.F[B-](F)(F)F,1.19983742203752
COCCOC,O=S(=O)(F)[N-]S(=O)(=O)F.[Li+],-0.954677021356745
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],-0.0981152221854431
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[B-](F)(F)F,0.98824715660829
COC(=O)OCCF,F[P-](F)(F)(F)(F)F.[Li+],0.404833716606716
COC(=O)OC,F[P-](F)(F)(F)(F)F.[Li+],0.897627091085031
CCOC(=O)OC.O=C1OCCO1,F[P-](F)(F)(F)(F)F.[Li+],0.619927710095573
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],1.009875633728
CCS(=O)(=O)C1CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],-1.40011692806019
C1CCOC1,[Li+].[O-][Cl+3]([O-])([O-])[O-],0.826074802528446
CCCC#N.N#CCCCC#N,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],1.16996817411732
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],0.87082421062351
CC1COC(=O)O1,C1CC[N+]2(CC1)CCCCC2.F[B-](F)(F)F,0.985426473880967
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.419948506546898
N#CCCC#N,C[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-0.182156134110386
CCOC(=O)OC.O=C1OCCO1,F[P-](F)(F)(F)(F)F.[Li+],0.896817555313401
C[Si](C)(C)OCCC#N,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.767887314731509
C1CCOC1.C1COCO1,F[B-](F)(F)F.[Li+],0.380253140118051
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.740166220647207
CC1CCCO1.O=C1CCCO1,F[B-](F)(F)F.[Li+],-0.52273400477674
FC(F)C(F)(F)COC(F)(F)C(F)F.O=S1(=O)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],-0.0457574907092792
CC1COC(=O)O1.CCOC(=O)OC.COC(=O)OC,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.397601300723077
CC1COC(=O)O1.O=C1OCCO1,CC[N+](CC)(CC)CC.F[P-](F)(F)(F)(F)F,0.180522873732109
O=C1OCCO1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],0.799340549280955
CC1COC(=O)O1.CCOC(=O)OCC,F[P-](F)(F)(F)(F)F.[Li+],0.908485019018322
CC1COC(=O)O1.O=C1OCCO1,O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+],0.704006434738172
