smiles,IE
COCCOc1cscc1OC,4.306097871
c1c(c2c(cc1)nccn2)C(=O)O,5.330098194
C=Cc1cccc2c1[nH]sn2OCCOC,3.957699238
c1ccc(cc1)C1(CCCC1)O,5.178551856
C(#N)C1=COC(=CO1)N,3.910691588
Cn1ccc(=c2cc(n(C)c(c2)OCCOCCOCCOC)N(=O)=O)cc1,2.673604619
Nc1c(N)c(F)ccc1,5.200112036
C=CCn1ccc(=c2ccn(C)cc2)cc1OC,1.700566491
O(C)c1ccc(cc1)OC,4.080031098
C#C[C@@H]1CSC[C@H](c2ccccc2)S1,5.038618448
Cn1ccc(=c2ccn(cc2)Cc2ccccc2)c(c1)C(Cl)(Cl)Cl,2.177216618
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)C)F,5.685234275
OC1=N[N]N[C]1[C@H]1CN1,6.162384004
[C@@H]1(CCCSC1)NC(=O)C,4.785882593
CCc1c2CCCCc2c(c(c1O)O)OCCOCCOC,4.101101659
CC(=O)c1ccc(C#N)c2c1[nH]s[nH]2,3.458495593
c1(c2ccccc2)c(ccc(c1)Cl)Cl,5.042972728
c1cc(c2c(c1)[nH]sn2F)C(Cl)(Cl)Cl,4.791673976
C=C[C@@H]1CC[C@H](C1)O,5.446171854
C1C(CCSC1)N(C)C,3.954802214
COCCOCCOc1cncc(C#N)n1,5.669987418
C#Cc1cc(C(=O)C)sc1,5.172312536
c1cc(ccn1)c1cc(nc(c1)NC(=O)C)C,4.965762434
c1c(c2c(cc1)nccn2)C,5.12703122
C#Cc1cc(cs1)OCCOC,4.374478416
Cc1ccc2c(c1C(=O)O)ONO2,4.487852646
COCCOCCOc1cncc(Cl)n1,5.394962574
C=Cc1c(=c2ccn(C)cc2)ccn(C)c1C(Cl)(Cl)Cl,2.37677867
c1cc2c(cc1)[C](c1c(C2=O)cc(cc1N([CH2])C)C)O,2.715480719
c1c(cc2c(c1N)ONO2)C(Cl)(Cl)Cl,4.368129616
C1=C(Cl)[S]=C(C2=[S]C(=CS2)N(=O)=O)S1,3.706961384
C#C[C@@H]1[C@H](F)SCCS1,5.327450552
c1c(csc1C#N)C(F)(F)F,5.886833116
C#Cc1cscc1NC,3.864110399
C(CCC)CC=O,6.007986347
COc1ccc(OC)s1,3.642372903
CO[C@@H]1CCCC[C@@H]1[C]([NH])O,5.783557665
C1C(CCSC1)(F)F,4.976299485
C[C@@]12CN3[C@H]4[C@@H](C1)[C@H]4[C@@H]23,5.560777541
c1cc(c2c(c1)ON(C(Br)(Br)Br)O2)N(=O)=O,5.131276901
N1([C@@H]2CCC[C@H]1CCC2)SC,3.611291247
CC(=O)c1ccc2c(c1)[nH]sn2O,3.999540017
c1c(c2c(cc1)C(=O)c1c(C2=O)cccc1)N,4.494067789
CCc1c(ccs1)C(F)(F)F,5.11447072
CN1C[C@H](N(C)C[C@H]1O)O,4.827170824
CC[C@@H]1C=CSC=C1C=C,3.98594302
C=Cc1cccc2c1[nH]sn2N(C)C,3.511337393
c1(cc2c(cc1)C(=O)c1c(C2=O)cc(cc1)NC)NC,4.114541641
C(=O)c1c(C)cc(cc1C)C,5.27841284
[C@@H]1(C[C@H](CSC1)C=C)C,4.644638744
CC[C@H]1CCCC[C@H]1c1ccccc1,5.08942179
CNc1c/c(=c/2\ccn(C)c(c2)Cl)/ccn1C,1.806034865
C#Cn1c2cc(ccc2[nH]s1)F,3.660886318
CC(C)(C)c1c/c(=c\2/ccn(C)cc2C(F)(F)F)/ccn1C,2.079051866
C#Cc1cncc(C(Br)(Br)Br)n1,5.822504232
CC(C)(C)c1c(ccs1)NC,3.503437164
Cn1cc/c(=c\2/ccn(C)c(c2)C(=O)O)/cc1C(=O)O,2.323862365
C1(c2ccccc2)(c2ccccc2)CC1,4.694762845
C(CN)c1ccc(cc1)O,4.404422171
N(N(C)C)(CCC)C,3.235413471
Cc1ccc(OC)s1,3.962969678
CC[C@H]1C=CC=C1CC,4.176656161
C=Cc1cn(ccc1=c1ccn(C)cc1)C/N=C(\C)/O,2.030681862
