random_state,perplexity,metric,learning_rate,exaggeration,knn,knc,cpd
14,83,manhattan,auto,3.545932,0.08019088118685254,0.9166666666666666,0.3314181237842205
73,47,dice,auto,1.447804,0.36009560046041694,0.9166666666666666,0.21154831034691124
36,68,hamming,auto,1.126666,0.21959329837575137,0.9166666666666666,0.3568877004833446
89,64,matching,auto,1.107472,0.3967866734876583,0.9166666666666666,0.3294754337900051
30,39,chebyshev,auto,2.61327,0.004484269088118685,0.9583333333333334,-0.005411139945654532
42,92,chebyshev,auto,3.851255,0.0033604041437523984,0.9583333333333334,0.03345867401086847
18,98,symmetric_kl,auto,2.160171,0.1571028903951912,0.9583333333333334,0.2766995668228364
51,46,jaccard,auto,2.031366,0.2694797928123801,0.9583333333333334,0.2559252004826532
53,99,rogerstanimoto,auto,2.115123,0.1334825425246195,0.875,0.33859247255780095
42,84,chebyshev,auto,3.039613,0.004030246834633585,0.9583333333333334,0.02772256803971044
23,46,dice,auto,3.030123,0.16689634224325361,0.9583333333333334,0.23850292767818776
32,91,matching,auto,3.51427,0.06927356439442384,0.875,0.394247594469394
77,80,chebyshev,auto,1.650911,0.0091268064969945,0.7916666666666666,0.04245303421190425
54,45,rogerstanimoto,auto,2.367421,0.18691328814426397,0.9166666666666666,0.31197765123186855
12,86,matching,auto,3.415007,0.07349725028776058,0.875,0.38338572455272907
100,48,euclidean,auto,2.94653,0.12542684486507225,0.9166666666666666,0.33792779537215123
38,72,euclidean,auto,2.579263,0.12045178411561581,0.9166666666666666,0.33749190304149956
57,64,hamming,auto,1.748392,0.08661273820181609,0.875,0.36074633106101905
72,91,l2,auto,1.313021,0.3206436245044123,0.875,0.32531709407180875
68,98,chebyshev,auto,2.284045,0.005977426780918276,0.75,0.013893365790047213
87,81,l2,auto,2.802047,0.10044283156413865,0.9166666666666666,0.33534844144690046
30,47,matching,auto,2.431538,0.17368749200665046,0.9166666666666666,0.3463379086903663
59,56,chebyshev,auto,2.775482,0.003908747921729122,0.75,0.10591488888588345
57,46,euclidean,auto,3.613034,0.10471767489448777,0.9166666666666666,0.34333721303693326
82,48,manhattan,auto,1.013904,0.3984636782197212,0.9166666666666666,0.3257234684961547
14,99,rogerstanimoto,auto,1.678935,0.2085033252334058,0.875,0.3300194266211632
